Run_Number,Feature_Selection_Method,AUROC,Subject_IDs,Predictions,Probabilities,AUPRC,y_true
0,PT10,0.73681257,"[554, 692, 266, 385, 103, 377, 367, 862, 869, 446, 724, 66, 491, 222, 358, 532, 503, 664, 209, 819, 909, 410, 639, 725, 543, 539, 234, 104, 791, 603, 637, 548, 97, 60, 498, 119, 25, 126, 191, 810, 38, 318, 43, 225, 674, 832, 755, 865, 658, 434, 292, 728, 644, 243, 884, 105, 793, 286, 824, 701, 172, 387, 471, 666, 767, 447, 816, 224, 709, 381, 438, 513, 41, 469, 714, 345, 573, 194, 102, 655, 171, 723, 11, 863, 546, 93, 397, 175, 348, 95, 500, 259, 245]","[0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0]","[0.3671567518349295, 0.2389156191256789, 0.3949425792569819, 0.2855736214173262, 0.31620095818845456, 0.6810268602157579, 0.7328562417240855, 0.9060582579680014, 0.2333657198186066, 0.5696800440421745, 0.8684470698181441, 0.8148197404855627, 0.7374189648851763, 0.8511566878424867, 0.3383169577425257, 0.805131995439663, 0.7502377727343441, 0.3491933445583384, 0.33537618293369975, 0.5325277455253407, 0.3916901847020478, 0.4879807171974634, 0.5313392315301543, 0.5614018413314598, 0.36880863518854345, 0.48651131483249216, 0.5291182370588121, 0.35100515281133143, 0.6622256547538942, 0.29338263181220414, 0.42413203844351105, 0.8587616957758736, 0.41916257134695095, 0.2788510502446555, 0.3575924731733051, 0.12059370656456124, 0.846552594277406, 0.7276399412740537, 0.34442552018877176, 0.8827122138350192, 0.3089005568906796, 0.6886289519811555, 0.3027229570912075, 0.20039583563673638, 0.6290464039724446, 0.4696046727130978, 0.351043007122318, 0.6995278543989911, 0.437966293593098, 0.6548553592886474, 0.2841134526468336, 0.398330343869986, 0.7157875944051937, 0.49618571949882145, 0.19357739908647856, 0.7537910633289773, 0.4066664015290188, 0.6092869270708413, 0.2022888318206233, 0.6587503774308172, 0.659284579750205, 0.7416530867111489, 0.3411633593317925, 0.22994775569882997, 0.7412329715021541, 0.566431578646694, 0.7208712373541057, 0.8708148687530795, 0.28985697826132306, 0.36714911355902935, 0.5681233506954703, 0.6634552265234027, 0.3586617377182399, 0.30720664331557956, 0.8830824584314189, 0.5426292310330326, 0.7334040981365847, 0.7721869279506358, 0.8010766378592764, 0.2221724337430177, 0.2802082863948605, 0.4218752893216527, 0.2805951149264116, 0.8136200898419164, 0.813469160961449, 0.38811605323341464, 0.2299672411306706, 0.5986097374452899, 0.24734904765307203, 0.361653264428776, 0.752876686200361, 0.4790637544807442, 0.45641054717275215]",0.51850543,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0]"
0,CV10,0.664983165,"[554, 692, 266, 385, 103, 377, 367, 862, 869, 446, 724, 66, 491, 222, 358, 532, 503, 664, 209, 819, 909, 410, 639, 725, 543, 539, 234, 104, 791, 603, 637, 548, 97, 60, 498, 119, 25, 126, 191, 810, 38, 318, 43, 225, 674, 832, 755, 865, 658, 434, 292, 728, 644, 243, 884, 105, 793, 286, 824, 701, 172, 387, 471, 666, 767, 447, 816, 224, 709, 381, 438, 513, 41, 469, 714, 345, 573, 194, 102, 655, 171, 723, 11, 863, 546, 93, 397, 175, 348, 95, 500, 259, 245]","[1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1]","[0.5167405749584103, 0.2698771235916284, 0.4465119825675548, 0.22779120414890042, 0.24543788386816145, 0.7562087954971907, 0.6596854224642094, 0.9235411817705735, 0.22103259057922825, 0.5846970018853297, 0.8003642707270459, 0.6592347163827136, 0.7984166839596496, 0.7872366122640397, 0.6066496210373772, 0.7676270997699548, 0.7125984648091926, 0.4162452319497525, 0.3084641802874645, 0.6153625683652785, 0.46213072711207603, 0.682461034051858, 0.3684771457900259, 0.6196134287814326, 0.459009554946835, 0.5092254098358745, 0.5548862583118086, 0.31033765014532766, 0.4931759394982528, 0.37278146374936383, 0.4761188258623442, 0.8497850144088699, 0.24717952456864908, 0.20617697185265924, 0.3350935675022517, 0.24166621586238118, 0.7240752940013365, 0.6184008686448033, 0.4719655641849489, 0.890951540802754, 0.25431899965805993, 0.4370954950513298, 0.17974381758127758, 0.13218811830700417, 0.6072545255472461, 0.29459478757273, 0.33071023024527535, 0.3898829175330957, 0.5158926787647573, 0.5928353878700183, 0.21150120935138453, 0.5993421487117943, 0.7659864942094801, 0.5730337801378537, 0.26190157709371076, 0.7115581798694095, 0.5595685116635223, 0.6788987454632424, 0.24510763137188515, 0.737155951852761, 0.7681069486051895, 0.9144494449444119, 0.4187068039759697, 0.26572021117562106, 0.7318581939776637, 0.4672995087298348, 0.901851881688018, 0.775016598768748, 0.5228209801432621, 0.4400342202283558, 0.5997100065203764, 0.6527859601293146, 0.25888032977063946, 0.2899748097540174, 0.8416402291244911, 0.5597036181270771, 0.801134395984065, 0.6830579961055689, 0.8946854379065757, 0.3445872899932199, 0.19569387050826687, 0.31832129594814745, 0.37461911539425496, 0.7084888036966881, 0.7491087343136704, 0.49717036074814025, 0.16919862187898724, 0.794320138357246, 0.3637594039694269, 0.387242303953967, 0.6821625183216273, 0.4050627324239404, 0.5162514823206324]",0.467923811,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0]"
0,Intersection,0.694725028,"[554, 692, 266, 385, 103, 377, 367, 862, 869, 446, 724, 66, 491, 222, 358, 532, 503, 664, 209, 819, 909, 410, 639, 725, 543, 539, 234, 104, 791, 603, 637, 548, 97, 60, 498, 119, 25, 126, 191, 810, 38, 318, 43, 225, 674, 832, 755, 865, 658, 434, 292, 728, 644, 243, 884, 105, 793, 286, 824, 701, 172, 387, 471, 666, 767, 447, 816, 224, 709, 381, 438, 513, 41, 469, 714, 345, 573, 194, 102, 655, 171, 723, 11, 863, 546, 93, 397, 175, 348, 95, 500, 259, 245]","[0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1]","[0.4167494479471911, 0.3424731960530264, 0.5107544803509398, 0.3134900750015986, 0.32703272044758486, 0.7274208164511498, 0.8008090517588029, 0.9075415241804019, 0.28734682215940105, 0.6553378643480487, 0.7686186195646909, 0.6093911954813014, 0.7482535039538507, 0.772795437467956, 0.4054021912727805, 0.8337493231796658, 0.7776548648334017, 0.39969883309363446, 0.36587319631867804, 0.5761242529908769, 0.5450389869058921, 0.5509672087192162, 0.43207183422093975, 0.5845885261431832, 0.35916701215027813, 0.5718114750061623, 0.6461693413220878, 0.44367771661123445, 0.6713328099550823, 0.4276422608432527, 0.40794520473572, 0.812374472623994, 0.3439714860954804, 0.2833995760267305, 0.3170129438431193, 0.16658906995161804, 0.8046289317085817, 0.7383118343012289, 0.534454977056006, 0.8450981160193252, 0.3613913577824243, 0.5573719417539597, 0.26050520146678996, 0.19689860087244648, 0.7003607774818216, 0.4412551162421486, 0.2815478750561975, 0.49693478527827734, 0.38885536225331346, 0.6719483445976543, 0.2985482853180041, 0.49684466510189423, 0.7063788280053889, 0.48455463016591377, 0.2071722263216351, 0.771922422161124, 0.45765291255614543, 0.6032958918380258, 0.3020203932841547, 0.6588960994134544, 0.7545182216693476, 0.9002776506824217, 0.49278237402606995, 0.2162019994612168, 0.7818757834473422, 0.3722552630712865, 0.7850757967674155, 0.8458929592918205, 0.3906780594964728, 0.48216306935908265, 0.5460821807697845, 0.7273944326268147, 0.4009668580405037, 0.30616327405626126, 0.8456084000000714, 0.5264292607757937, 0.7745614221183571, 0.7500462147972574, 0.8598348578944174, 0.2801255572483706, 0.24119987796003975, 0.40694063959979815, 0.3158252037401824, 0.7184199893975752, 0.8556253396669461, 0.4636883267603275, 0.24073425617086744, 0.7477850833451962, 0.2664530697669243, 0.4367261704052936, 0.6737748434181109, 0.4804033339130758, 0.6073536082354566]",0.516487655,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0]"
0,AllFeatures,0.737934905,"[554, 692, 266, 385, 103, 377, 367, 862, 869, 446, 724, 66, 491, 222, 358, 532, 503, 664, 209, 819, 909, 410, 639, 725, 543, 539, 234, 104, 791, 603, 637, 548, 97, 60, 498, 119, 25, 126, 191, 810, 38, 318, 43, 225, 674, 832, 755, 865, 658, 434, 292, 728, 644, 243, 884, 105, 793, 286, 824, 701, 172, 387, 471, 666, 767, 447, 816, 224, 709, 381, 438, 513, 41, 469, 714, 345, 573, 194, 102, 655, 171, 723, 11, 863, 546, 93, 397, 175, 348, 95, 500, 259, 245]","[0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0]","[0.28724844432695956, 0.29266676117573764, 0.2029028062457328, 0.22893225067823067, 0.14660672495470767, 0.5411371562393139, 0.8150959664269499, 0.9589905512487886, 0.25342750903847777, 0.7378728546569949, 0.8885104310592719, 0.8333494739159212, 0.8767750068245125, 0.9159792838303646, 0.41967777458500943, 0.8255857571080893, 0.7726264816147572, 0.528687290914385, 0.22127617433960542, 0.44088581931671134, 0.2358629472817113, 0.46403587636916227, 0.16514857174916914, 0.5934202655558294, 0.5947294495554444, 0.2070016986188337, 0.6375457102589447, 0.44662377035253004, 0.7827001633493162, 0.2748534100510631, 0.3543915485698805, 0.8396566090370968, 0.18401037506224865, 0.16728777992772714, 0.6771494841635007, 0.10147877384619973, 0.47212131571350663, 0.5485097260725877, 0.46263550738398507, 0.9389253425701354, 0.18014048424335558, 0.9764642832241994, 0.1973897833999553, 0.1132954329350823, 0.4902444567327274, 0.3819646268911255, 0.2541120578368886, 0.8510843740410473, 0.27911147532496267, 0.5094650982867628, 0.09158460934974785, 0.32667720799402217, 0.9413969418683573, 0.445997200041612, 0.21415944716861252, 0.9756417895387471, 0.5684388501862585, 0.5131500971475744, 0.12470096446598342, 0.9022360252501103, 0.6698942254152388, 0.8826357493547534, 0.6835994374008313, 0.22815392455683214, 0.6294079429723912, 0.7176697738771834, 0.8025526742445992, 0.916917432619445, 0.36342482616244587, 0.3998543818062479, 0.6619991502535431, 0.37777909837617274, 0.3129550524349961, 0.34207275475413534, 0.7791299181891012, 0.6259052301905739, 0.7705578873153709, 0.7045005845023045, 0.7814278387237075, 0.22717545769587855, 0.22390821751592915, 0.2657679250516966, 0.18853858472185525, 0.8408318511897596, 0.8932297277259506, 0.34618913981573246, 0.23507398883948463, 0.8021464128730272, 0.15082116785368707, 0.2963773341262197, 0.7828138036980052, 0.4495146051417719, 0.2677706661040959]",0.553648843,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0]"
1,PT10,0.7328844,"[554, 692, 266, 385, 103, 377, 367, 862, 869, 446, 724, 66, 491, 222, 358, 532, 503, 664, 209, 819, 909, 410, 639, 725, 543, 539, 234, 104, 791, 603, 637, 548, 97, 60, 498, 119, 25, 126, 191, 810, 38, 318, 43, 225, 674, 832, 755, 865, 658, 434, 292, 728, 644, 243, 884, 105, 793, 286, 824, 701, 172, 387, 471, 666, 767, 447, 816, 224, 709, 381, 438, 513, 41, 469, 714, 345, 573, 194, 102, 655, 171, 723, 11, 863, 546, 93, 397, 175, 348, 95, 500, 259, 245]","[0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0]","[0.37044303365129144, 0.2807682754168574, 0.37706385850955, 0.357761445384613, 0.34044440376612634, 0.6259707566696296, 0.6555264489413518, 0.8795866738092448, 0.31935389434343237, 0.561186757092826, 0.846545990259093, 0.8068323215472574, 0.7470676107033591, 0.800472073861291, 0.36017711251110185, 0.807357111895455, 0.7232755974166358, 0.310295344767085, 0.4264915837739838, 0.4738129372302102, 0.34148316991456057, 0.5115339902854301, 0.5816334383668177, 0.5016300842539252, 0.4233591635464524, 0.4814733318423147, 0.4416577369732874, 0.3056966998750799, 0.6862624694030083, 0.26819208409113104, 0.34331574964794176, 0.8364039707338489, 0.3905015163464441, 0.2925232981233504, 0.33203664430141316, 0.15040099180150485, 0.8248074153519238, 0.7236548824864498, 0.3151198715652302, 0.8685358769259445, 0.3201420627088569, 0.635279932866084, 0.3859977437550271, 0.21818804197741193, 0.6375131909892041, 0.5150189170940108, 0.40325475554019985, 0.6703512806065581, 0.43246997907093704, 0.6110992383234448, 0.3229013739395791, 0.36770279109954296, 0.6864866468017738, 0.5839667196928209, 0.20770726263556444, 0.6334894298804272, 0.3737754639122768, 0.5833386597921516, 0.1585520694194001, 0.6752307120592504, 0.6699020829174586, 0.6639038131104941, 0.34788759163992483, 0.310913205363533, 0.7555765328804196, 0.6230839348499841, 0.741078304318511, 0.8629196605446134, 0.3291508657957356, 0.34094248119328074, 0.5158553845126318, 0.6863914856611689, 0.34555030650245283, 0.33128311246784375, 0.8547626435083335, 0.5238896059759028, 0.6943313175006159, 0.7836739498192562, 0.7522864365265579, 0.27821498081200347, 0.3548021979001629, 0.4012685882759992, 0.3364202760464305, 0.7860308007625232, 0.7631101302686808, 0.3612764735948431, 0.2278075896952297, 0.5298107421217618, 0.3020344706767495, 0.3673701910137126, 0.7809574146918713, 0.47174815219652094, 0.4041340205091271]",0.51750655,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0]"
1,CV10,0.657126824,"[554, 692, 266, 385, 103, 377, 367, 862, 869, 446, 724, 66, 491, 222, 358, 532, 503, 664, 209, 819, 909, 410, 639, 725, 543, 539, 234, 104, 791, 603, 637, 548, 97, 60, 498, 119, 25, 126, 191, 810, 38, 318, 43, 225, 674, 832, 755, 865, 658, 434, 292, 728, 644, 243, 884, 105, 793, 286, 824, 701, 172, 387, 471, 666, 767, 447, 816, 224, 709, 381, 438, 513, 41, 469, 714, 345, 573, 194, 102, 655, 171, 723, 11, 863, 546, 93, 397, 175, 348, 95, 500, 259, 245]","[1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0]","[0.5316444589813702, 0.32056301796044845, 0.43101191770087877, 0.2550075953316483, 0.27611077217130586, 0.6941257813214002, 0.5748898909769462, 0.9025610092102275, 0.2553287489830961, 0.5798726125575651, 0.7999572574871983, 0.64218498713785, 0.8059520526749465, 0.726702352157474, 0.5350370997525721, 0.7583615175059046, 0.7092234437397693, 0.40266876637914595, 0.3737569172801242, 0.6044241251174528, 0.4198405331056558, 0.6816906449561108, 0.33537899079446293, 0.5346929427151392, 0.5208082053575983, 0.500759717405727, 0.5399301725658401, 0.2960889658466771, 0.5120078815834537, 0.3631515141850454, 0.4051203890828369, 0.8211869803690636, 0.24884952023850218, 0.23702127706603848, 0.3241597751455987, 0.2740567689230104, 0.6906044698035594, 0.5831774541275281, 0.46647744434027766, 0.8847123101489135, 0.26864311363188126, 0.3822467734597141, 0.19089630596910698, 0.1367906305559742, 0.5915398959242657, 0.33240569978865625, 0.3396144633403841, 0.3652200052251949, 0.4712817000323785, 0.573578906182955, 0.22786540040210965, 0.5717035911991599, 0.7435267197244877, 0.6202197721355542, 0.2698671708669168, 0.5992204490966908, 0.5313451671432731, 0.6407104450524298, 0.20686958438581154, 0.7304434852082725, 0.7635919394273123, 0.8976750037193574, 0.41683056342995245, 0.32010917441340075, 0.7208305849467405, 0.5205027747156326, 0.8804637373376072, 0.7414940922300988, 0.47904072094443734, 0.4556255525247003, 0.5238941916066313, 0.6630385185658879, 0.24082943243097318, 0.2969874801083255, 0.8012120501227648, 0.5704519249254951, 0.7668881238999935, 0.7006610630867959, 0.8811838420021652, 0.3933757141839414, 0.23731810886727733, 0.2757548958470252, 0.3769507938714288, 0.6613141959778778, 0.7238503609444319, 0.4941058954112396, 0.18603003575218582, 0.7638809763428271, 0.4181461468227356, 0.3853727672767336, 0.6519078663712407, 0.3987162710314499, 0.4961711452396474]",0.471170489,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0]"
1,Intersection,0.692480359,"[554, 692, 266, 385, 103, 377, 367, 862, 869, 446, 724, 66, 491, 222, 358, 532, 503, 664, 209, 819, 909, 410, 639, 725, 543, 539, 234, 104, 791, 603, 637, 548, 97, 60, 498, 119, 25, 126, 191, 810, 38, 318, 43, 225, 674, 832, 755, 865, 658, 434, 292, 728, 644, 243, 884, 105, 793, 286, 824, 701, 172, 387, 471, 666, 767, 447, 816, 224, 709, 381, 438, 513, 41, 469, 714, 345, 573, 194, 102, 655, 171, 723, 11, 863, 546, 93, 397, 175, 348, 95, 500, 259, 245]","[0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1]","[0.43633840461240625, 0.39949668362869933, 0.4933999256070873, 0.3538785873829034, 0.3632689591741744, 0.669589599922775, 0.7375296854329891, 0.8847105875675518, 0.33972036517104315, 0.6343585827578597, 0.7723846843785355, 0.597974901137939, 0.7501340092570864, 0.7031742242851654, 0.39425737090756824, 0.8237027954688991, 0.7683717574853619, 0.37470589855527225, 0.43728699753526884, 0.5604091008000067, 0.5105788736703692, 0.5562253087036703, 0.41603780060590206, 0.49808123411941035, 0.4088478780056015, 0.5612709495859455, 0.6080372463867353, 0.4244059012698672, 0.667923203540171, 0.411867331879982, 0.34072259150035755, 0.781298350652254, 0.3510086143521268, 0.3124556553186357, 0.29495038353122194, 0.19840425554292254, 0.7688252600501148, 0.6990805944872218, 0.528418927794685, 0.833155173634347, 0.37849147508754943, 0.5262410281124562, 0.2812680821778668, 0.20156271825643046, 0.6767346321954432, 0.4756751713902155, 0.31125503056165055, 0.4706392702914472, 0.35800857483396364, 0.6352433988335396, 0.3254086145475111, 0.4647346799479615, 0.6803358600951024, 0.5429448627803818, 0.21403027397806734, 0.666932326174177, 0.4183151097578883, 0.5543559055695158, 0.269278366185625, 0.6489441424386302, 0.7593094087171158, 0.8859494530447063, 0.48998528744251496, 0.2815478700014797, 0.7645430687020953, 0.4288364473576292, 0.7809310823030766, 0.8276797898220064, 0.37602891700954977, 0.48132500155111124, 0.4652993771328899, 0.7351739667608551, 0.37768240427949035, 0.3360046425273031, 0.8075754632559177, 0.5189324098333152, 0.7296442561601687, 0.7496829913391396, 0.838702318891863, 0.3463601528818589, 0.28227565753452755, 0.3541963321589914, 0.32463792189661217, 0.6876380117403849, 0.8373224011677024, 0.4502888831741946, 0.24721678090753388, 0.693447687809511, 0.3328851467479824, 0.4442434951530786, 0.6557509966060855, 0.4681752447923914, 0.5813728736454316]",0.489005698,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0]"
